iter	Passed	Remaining
423	2243	3048
424	2248	3041
425	2251	3034
426	2256	3027
427	2259	3020
428	2263	3013
429	2267	3005
430	2271	2998
431	2274	2991
432	2278	2984
433	2282	2977
434	2286	2970
435	2290	2963
436	2294	2955
437	2297	2948
438	2301	2941
439	2305	2934
440	2309	2927
441	2313	2920
442	2317	2914
443	2321	2907
444	2325	2900
445	2329	2893
446	2333	2887
447	2337	2880
448	2341	2873
449	2345	2867
450	2349	2860
451	2353	2853
452	2356	2845
453	2360	2838
454	2364	2831
455	2367	2824
456	2371	2817
457	2375	2810
458	2378	2803
459	2382	2796
460	2386	2790
461	2390	2783
462	2393	2776
463	2397	2769
464	2401	2762
465	2404	2755
466	2408	2749
467	2412	2742
468	2416	2735
469	2420	2729
470	2424	2722
471	2428	2716
472	2432	2710
473	2436	2704
474	2441	2698
475	2445	2691
476	2449	2685
477	2453	2679
478	2457	2673
479	2461	2666
480	2465	2660
481	2469	2653
482	2473	2647
483	2477	2641
484	2481	2635
485	2485	2628
486	2489	2622
487	2493	2616
488	2497	2609
489	2501	2603
490	2504	2596
491	2508	2589
492	2511	2582
493	2515	2576
494	2518	2569
495	2522	2563
496	2526	2557
497	2530	2550
498	2534	2544
499	2537	2537
500	2541	2531
501	2545	2524
502	2548	2518
503	2552	2511
504	2555	2505
505	2559	2498
506	2562	2492
507	2566	2485
508	2569	2478
509	2573	2472
510	2577	2466
511	2580	2459
512	2584	2453
513	2588	2447
514	2591	2440
515	2595	2434
516	2599	2428
517	2602	2421
518	2605	2415
519	2610	2409
520	2613	2403
521	2617	2396
522	2620	2390
523	2625	2384
524	2629	2378
525	2632	2372
526	2637	2367
527	2641	2361
528	2645	2355
529	2648	2348
530	2652	2342
531	2656	2337
532	2660	2330
533	2663	2324
534	2666	2317
535	2670	2311
536	2674	2305
537	2677	2299
538	2681	2293
539	2685	2287
540	2689	2281
541	2692	2275
542	2697	2270
543	2702	2265
544	2706	2259
545	2709	2253
546	2714	2247
547	2718	2242
548	2723	2237
549	2727	2231
550	2732	2226
551	2736	2220
552	2741	2215
553	2745	2210
554	2749	2204
555	2754	2199
556	2758	2193
557	2762	2188
558	2766	2182
559	2771	2177
560	2776	2172
561	2781	2167
562	2786	2162
563	2791	2157
564	2795	2152
565	2800	2147
566	2804	2141
567	2809	2136
568	2814	2131
569	2819	2126
570	2824	2121
571	2828	2116
572	2833	2111
573	2837	2106
574	2842	2100
575	2846	2095
576	2850	2090
577	2855	2084
578	2859	2079
579	2863	2073
580	2868	2068
581	2872	2062
582	2876	2057
583	2880	2052
584	2885	2046
585	2889	2041
586	2894	2036
587	2898	2030
588	2901	2024
589	2906	2019
590	2909	2013
