iter	Logloss
0	0.6430014183
1	0.6033651879
2	0.5598951358
3	0.5175796363
4	0.4860392834
5	0.4568747675
6	0.4280469913
7	0.4033509754
8	0.3803134882
9	0.360823713
10	0.3394218227
11	0.322048398
12	0.3050062779
13	0.2914918155
14	0.2757548886
15	0.2601767404
16	0.2472891962
17	0.2348216611
18	0.2227116903
19	0.213432966
20	0.2049342564
21	0.1977486892
22	0.1918323916
23	0.1842783029
24	0.1785177467
25	0.1740459624
26	0.1687236241
27	0.1624713425
28	0.1571944173
29	0.153375651
30	0.1492764282
31	0.1451975795
32	0.1416216169
33	0.1366706485
34	0.1334098017
35	0.1304307919
36	0.1279159837
37	0.1241216896
38	0.1217791893
39	0.1196323867
40	0.117481733
41	0.1147047352
42	0.1122777303
43	0.1108184306
44	0.1094390724
45	0.1076771909
46	0.1061849976
47	0.104560823
48	0.1032496134
49	0.1015038845
50	0.1000212606
51	0.09887581961
52	0.09698513213
53	0.09612245106
54	0.09503154936
55	0.09418330601
56	0.0932237171
57	0.09228781564
58	0.09143909273
59	0.0902423895
60	0.08919808524
61	0.08816274007
62	0.08737338112
63	0.0865565854
64	0.08574632917
65	0.08492585682
66	0.08409981137
67	0.08309680757
68	0.08264944167
69	0.08224513463
70	0.0817439488
71	0.08111639114
72	0.08034853981
73	0.07985846383
74	0.07940194266
75	0.07893904186
76	0.07879247756
77	0.07814192999
78	0.07765257336
79	0.07723868234
80	0.07677687872
81	0.0762595985
82	0.07573139009
83	0.07515508743
84	0.07479545957
85	0.07443314325
86	0.07417015439
87	0.07386223203
88	0.07337579636
89	0.0731380281
90	0.07285975865
91	0.07252841041
92	0.07201309204
93	0.07160459246
94	0.07128831409
95	0.07102748326
96	0.07077860514
97	0.070600615
98	0.07026218233
99	0.06992916289
100	0.06971666609
101	0.06949534825
102	0.06923787435
103	0.06884400867
104	0.06855379377
105	0.06834222703
106	0.06810594105
107	0.0676864624
108	0.06750356765
109	0.0673782494
110	0.06711634318
111	0.06697052002
112	0.06668815976
113	0.06634130569
114	0.06619734265
115	0.06600038074
116	0.06582775298
117	0.06551682245
118	0.06537022182
119	0.06527371361
120	0.06510498047
121	0.064985664
122	0.0646988787
123	0.06445597331
124	0.06427743821
125	0.06415490287
126	0.06403116862
127	0.06387666975
128	0.06370497931
129	0.06362893241
130	0.06351919992
131	0.0633606611
132	0.0631766619
133	0.06293082101
134	0.06283120292
135	0.06271174113
136	0.06251825968
137	0.06240935553
138	0.06223320371
139	0.06214599609
140	0.06202944074
141	0.06178090413
142	0.06158626011
143	0.06144600278
144	0.06134780157
145	0.0611940947
146	0.06091639201
147	0.06079767863
148	0.06061424619
149	0.06051851182
150	0.06041239057
151	0.06025994074
152	0.06007506598
153	0.05994295393
154	0.05974747431
155	0.05955912272
156	0.05950523376
157	0.0593863569
158	0.05920959836
159	0.0590935916
160	0.05898276193
161	0.05886588687
162	0.05868835449
163	0.05846287682
164	0.05824319385
165	0.05804457165
166	0.05797197614
167	0.05792793274
168	0.05779534113
169	0.05765455337
170	0.057514227
171	0.05743344988
172	0.05733373006
173	0.05721578689
174	0.05714910598
175	0.05695485433
176	0.05683442979
177	0.05676991417
178	0.05666602362
179	0.05657400222
180	0.05646975563
181	0.05639651344
182	0.05633232117
183	0.05611817859
184	0.05606427511
185	0.05591672262
186	0.05583302089
187	0.05577257429
188	0.05568791707
189	0.05565543402
190	0.05556221008
191	0.05550549825
192	0.05539025443
193	0.05532626561
194	0.05523964292
195	0.05513282776
196	0.05504187084
197	0.05501464844
198	0.05481459118
199	0.05463711693
200	0.05453143892
201	0.05442999704
202	0.05431799026
203	0.05422279358
204	0.05416344779
205	0.05410355704
206	0.05404203869
207	0.05394733974
208	0.05385168166
209	0.05371771676
210	0.05364737738
211	0.05354350499
212	0.05350556873
213	0.05345165434
214	0.05323893229
215	0.05319100879
216	0.05310475667
217	0.05307088216
218	0.05301469349
219	0.05289070493
220	0.05285568964
221	0.05279590788
222	0.05269720895
223	0.05254523141
224	0.05249051049
225	0.05239724295
226	0.05233091445
227	0.05229996091
228	0.05220048087
229	0.05215859186
230	0.05200300671
231	0.05190000988
232	0.05183472043
233	0.05179629008
234	0.05161626543
235	0.05159491403
236	0.05152744838
237	0.05143487839
238	0.05134277344
239	0.05129522414
240	0.05125651042
241	0.05118379865
242	0.05107533773
243	0.05092032296
244	0.05078168233
245	0.05073194595
246	0.05065474011
247	0.05060735067
248	0.05047361828
249	0.05036121187
250	0.05031675793
251	0.05028309777
252	0.05014429365
253	0.05004871187
254	0.04997864133
255	0.0498685092
256	0.04983723958
257	0.04979911441
258	0.04968106224
259	0.04962869553
260	0.0495627703
261	0.04952751523
262	0.04942426772
263	0.04939612252
264	0.0493208313
265	0.04925123306
266	0.04919766744
267	0.04917597816
268	0.0490688542
269	0.04903068179
270	0.04894262768
271	0.04884600685
272	0.04881307693
273	0.04878436861
274	0.04872000921
275	0.04864947364
276	0.04859965007
277	0.04852282206
278	0.04845484052
279	0.04840638297
280	0.04837860107
281	0.04835456485
282	0.04829153878
283	0.04820133754
284	0.04809796651
285	0.04805560157
286	0.04796631586
287	0.04791457767
288	0.04776181902
289	0.04765940348
290	0.04757145473
291	0.04752767654
292	0.04747764951
293	0.04740666707
294	0.04735056559
295	0.04729785011
296	0.04727415539
297	0.04722096034
298	0.04721498762
299	0.04713584173
300	0.04703770229
301	0.04699721563
302	0.0469354684
303	0.04687406267
304	0.04683624268
305	0.04678025382
306	0.04675491333
307	0.04666745867
308	0.04664424351
309	0.0465856643
310	0.0465633356
311	0.04651003156
312	0.04647860936
313	0.04641178676
